StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Intro,"Age1 ",Age2cope,Class1,Class2cope,RaceEthnicity1,RaceEthnicity2cope,religion1,religion2cope,Disability1,Disability2cope,Neurodiversity1,Neurodiversity2cope,Gender1,Gender2cope,LGBTQIA+1,LGBTQIA+2cope,Pronouns1,Pronouns1_5_TEXT,Pronouns2experience,Pronouns3feel,"IdentityAffinity ","IdentityMore "
2023-11-07 14:35:14,2023-11-07 14:49:00,IP Address,100,825,True,2023-11-07 14:49:01,R_29jnD4xr3dhJUFW,anonymous,EN,"I agree, begin the research survey",25,,I think I'm in the middle? It could be worse but it can be better as well,I feel like just open communication and dialogue helps best to show your perspective,"I am south asian, specifically Pakistani",I have used nicknames but thats only because the other person may not understand it and i would have to repeat my name. I usually do this in social settings like ordering food or talking to customer service. Other than that i haven't felt much descrimination,"I am a muslim, meaning I follow the teachings of Islam",Yeah i try not to pray in open public spaces because that requires I wear a hijab and i feel like that may make others ask me weird targetted questions. I do this mostly when I'm travelling. I feel like at school I wouldn't't feel that uncomfortable to pray in a public setting because people are more open?,I am not disabled,doesn't apply to me,Don't think I am,Does not apply to me,Female,"I have experienced sexism in my undergrad since i was a female in a male dominated degree (hint: engineering). I guess my coping mechanism would just be trying extra hard not to make mistakes because then i would just be labelled as a the ""typical"" woman who doesn't know what shes doing",,,she/her/hers,,Its been okay. I haven't really felt the need to share them explicitly.,"mmmh i mean i do this its something that doesn't come naturally. ",,I don't think there is a list that equals one's identity. I feel like its a lot deeper than that? it can only be somewhat truly conveyed when another person gets to know you over a period of time
2023-11-07 14:44:42,2023-11-07 15:19:33,IP Address,100,2090,True,2023-11-07 15:19:34,R_3Gj4UyIA1IS6GTj,anonymous,EN,"I agree, begin the research survey",52,,Middle Class,"I went to a private high school where a large population of the popular students were of higher economic class. To fit in, I did feel pressure to follow a similar dress, which was could be defined as ""preppy"", wearing brands such as Polo.","Asian, Filipino-American","I no longer hide my ethnicity. But when I was younger and less sure of myself, I would have not corrected a person that used ""oriental"", which is offensive. I know better now.","I was raised Roman Catholic, but do not identify strictly with Catholicism because I see the hypocrisy of so many Catholics. If anything, I might say I'm more spiritual and believe in karma.",I did not experience religious discrimination since I attended mostly Catholic or Christian schools. I did not experience it either in college at a public university or in my work life since.,"As I have learned in the last couple years on many applications, diabetes is considered a disability. I have Type 2 Diabetes.","I have not experienced any prejudice or discrimination with diabetes directly at school or work, but have experienced it in some form personally. Largely, it's extended family that misunderstand the disease and mistakenly offer a wholistic solution from what they've seen on the internet or social media as a cure. To avoid such topics, I may inject insulin out of sight before a meal.",Not applicable.,Not applicable.,Male,I have not experienced sexism.,,,he/him/his,,I do not give it much thought even when asked.,"Depends on the setting. If I'm in a group that politically is extreme right, I would definitely not use pronouns.",,"Being an immigrant, identity is important and the fact that we can have a diverse and informed discussion today about it only strengthens us. For example, as an immigrant I struggled with the fact that I'm Filipino and American. My parents wanted a better life for my sister and I in America. They emphasized that we learn English, so we lost our ability to speak our national language, Tagalog, fluently (I still can understand it). This represents the pressure to assimilate one's identity to what is acceptable. I experienced my share of racial slurs and blatant discrimination growing up and only was able to stand against this when I became confident and proud of who I am. This pride and confidence came from accepting all of who I am, both Filipino and American. While I only have focused on my ethnic makeup so far, understanding that it is not all who I am - I am middle-class, hard worker, Catholic, spiritual, creative, artistic, male - all these parts of me emphasize the importance of identity. Knowing oneself is enlightenment."
2023-11-07 15:36:36,2023-11-07 15:40:06,IP Address,100,209,True,2023-11-07 15:40:07,R_2qeAn4Xqe425fqa,anonymous,EN,"I agree, begin the research survey",24,,middle class,"changing appearance, how I do certain things like my hair, fit in with new trends",Asian,Never has directly experienced this,Catholic,Hiding beliefs and not talking about it much with friends,no disability,not experienced this!,I am not neurodivergent,Not applicable,Male,Have never felt like I have been discriminated against for being a male,,,he/him/his,,"A bit unorthodox when I first did it, but fine now",Its not a problem at all,,Identity is based on each of our perspectives about ourselves and the worlds we all live in. I would say it is important part of our success and confidence in life
2023-11-07 16:55:50,2023-11-07 16:56:58,IP Address,100,67,True,2023-11-07 16:56:59,R_2B4JQiZaB3w3x38,anonymous,EN,"I agree, begin the research survey","test ",,test,test,test,test,test,test,test,test,test,test,test,test,,,self-describe,test,test,test,,test
2023-11-07 17:25:52,2023-11-07 17:33:17,IP Address,100,444,True,2023-11-07 17:33:18,R_OIQaDRcNfBCdtqF,anonymous,EN,"I agree, begin the research survey",29,,Lower to middle class,None,Indian,I tend to soften the consonants when I speak in English around my American peers.,"An overarching umbrella that accommodates all kinds of spiritual levels from atheisms to fanaticism, from agnosticism to nihilism. ","I have not experienced religious prejudice. ","I am not disabled
",None,None,None,Female,"I put on a tougher exterior sometimes because I would not want to be dismissed from serious conversations for being too emotional. ",,,she/her/hers,,Novel,"Potentially unnecessary. ",,"Things need not be as complicated as the world may make it seem at times. No harm in simplifying. "
2023-11-07 19:43:56,2023-11-07 20:24:56,IP Address,100,2459,True,2023-11-07 20:24:57,R_81dNlDc8KxMuZFL,anonymous,EN,"I agree, begin the research survey",19,,Upper Middle Class,,"White  ",,Satanist,"I'm careful about which crowds I bring it up in. ",,,"Autistic, Generalized Anxiety, & Depression","I use a lot of scripting when I make small talk with people. I feel like I mask relatively well, and I think that those who I don't tell I am autistic might just find me a little strange and off-putting. Most of my friends know, and some of my coworkers do. I'm not going to tell the manager who called a dog retarded, though.
I also have a history of self harm. One of my forearms is covered in scars. It's a piece of my body that says something very specific about my mental health history. In school settings, I'm generally pretty comfortable with showing them. I trust the professors and classmates I have to not react poorly, and I'm honest with them whenever they ask. At work, though, I've never worn short sleeves. I don't think I ever will.",Nonbinary,,,,he/him/his,,"At work and with my parents, I use they/them pronouns. I don't like they/them necessarily, but I find it's hard for some people to understand that I'm nonbinary and use he/him pronouns. I'd rather people understand my gender first.
At school, I use he/him pronouns everywhere. Most of my friends at school are LGBT.
I don't tell people my pronouns if they don't ask.","It really depends on the crowd. I really like when my professors ask for pronouns and nicknames the first time they take attendance. It makes it feel normal. In high school, when teachers had everyone say their pronouns, it kinda felt like I was just outing myself in a crowd of cisgender kids. Art school doesn't feel that way.",,
2023-11-07 20:12:59,2023-11-07 20:38:12,IP Address,100,1513,True,2023-11-07 20:38:13,R_2yr1mehwXBI9h7J,anonymous,EN,"I agree, begin the research survey",27,,middle class,By increasing my knowledge and improving educational background，think this is the only option for the middle class。,I am an ethnic minority from Northeast China. I don’t want to say the specific ethnic name because I want to protect my privacy.,"My hometown is a multi-ethnic area and our cultures are mixed together. All ethnic groups are very friendly to each other, but the single-ethnic areas in southern China are a little unfriendly to us. But there are very few conflicts in real life, they mostly happen online.

The method I adopted was to wear ordinary clothes, speak a common language, and not tell others that I was a minority.",I am a Buddhist,"As we all know, Buddhism is a very moderate religion. We believe that our doctrinal wisdom should be used to restrain ourselves and not be used to persecute others.
I have never been discriminated against because of my status as a Buddhist. If someone discriminates against me, I will not be angry because our teachings require us to control anger and rejection.",I'm not disabled,"But I have picked up items, such as clothes, that were dropped by different classmates who were in wheelchairs at DePaul.
I also give a helping hand to people with mobility issues in my country.",I once suffered from severe anxiety because my academic performance was not good enough.,"I think the best way is to change yourself or change the environment. To change yourself is to receive professional psychological counseling, go on an outing or stay with friends.
Changing the environment means, my personal example is, if you cannot accept the Chinese education system, you can choose to study abroad and study your favorite major.",male,"I have never suffered gender discrimination. I personally support gender equality and LGBTQ, because there are many things that I cannot choose and will not have a negative impact on others, so I should not be discriminated against.
Discrimination is a stereotype that stems from a lack of understanding.",,,he/him/his,,"I am most insensitive to this question and have not thought about it, so I will not answer it.","I am most insensitive to this question and have not thought about it, so I will not answer it.",,"As an international student, I am curious about whether other international students or immigrants recognize or try to integrate into the multiculturalism of the United States.
Because only recognizing the importance of multiculturalism will reduce discrimination against others.
Only by integrating into multiculturalism will you be less likely to be rejected by others."
2023-11-07 19:35:58,2023-11-07 21:52:57,IP Address,100,8219,True,2023-11-07 21:52:58,R_1Iuh07I07dLQVRC,anonymous,EN,"I agree, begin the research survey",40,,"Personal Income for 2023 = $0, I own 2 homes with my wife, Insured by my wife's company, currently in a Masters Program at DePaul, and I am starting a Human Factors Engineer role in a Co-Op program in med tech robotics surgical division in January. ","I have a multicultural background South East Asian and African decent first generation born American and my wife is from India. When I go to my mother's country people assume I have no money, because I tend to dress down when I go out so I don't get targeted. I speak the language and I pretend not to so I can hear what people talk about certain settings. Growing up in the east coast it was tough being mixed, however, I grew to learn to not care. I align with people that have a certain standard or principles and common goals and don't take anything personally. ","African Asian American ","I had a manager that talked to me in an in appropriate way with an intonation she was a caucasian woman from the south. I was upset because she was overstepping her boundaries, but she had so much power in the company, I took it with a grain of salt and got what I needed out of the contract. However, I personally would never work for that division again. Coping-wise, for the past 10 years I look at everything as 5 year increments so honestly I look at my end goal and as long as I hit my next step even if it's a small step up then those little obstacles don't bother me. ","Buddhist. In my practice I look for truth from my perspective and from all my experiences I believe in God, and the energy you put out there is the energy you receive. I work hard, smart, meditate and pray if it's meant to be then it will be and I live with no regrets. ","As a kid I went to catholic school and when the teachers found out I wasn't catholic I was excluded from a few things and treated differently, however, as a kid it bothered me in a sense that I never was open to conversion, however, I listen and allow people to preach, and if it's coming from a good place it's fine. I just stick to my religion. Copingwise, I'm not sure if this is coping however I meditate everymorning for 10 minutes, say affirmations for 10 minutes, visualize for 10 minutes read for 10 minutes and write what I see for 10 minutes. Since I have children now it doesn't always get finished but I always have time to meditate. I reflect, clear my thoughts center my self and when I do that I can think calmly about my next steps for the day that's where the visualizations take place and the affirmations are a reminder of my goals to keep me in track and I keep track of everything with my journals. This method helped me transform my life and keep me on task I rarely get upset I just see things as pros, cons and does it align with where I am going. ","No, however, I do have an issue that one could say is like a disability but I'm on a strict diet to manage my symptoms. When I don't follow my diet and supplementation I get low energy levels, brain fog and it's a mess. ","No, I have no experienced that personally. I have a friend that's a little person and he would crack jokes all the time about his size, however, I never fed into it. ","No I am not. ","I am not Neurodivergent, however, I have friends that are, I haven't witnessed any of them being discriminated against. ","Male ","I just see myself as male. I must be honest, I haven't learned much about gender theory.  However, I believe people should just be allowed to live a free life as long as they aren't hurting anyone else. I grew up around mostly women all of my life and had a strong father figure. He was a political refugee and a soldier from his country, and whenever I was being picked on for being mixed, if I were to show any weakness, he would tell me, rather than be upset, if someone attacks you don't just stand there do something about it.  So, I started to fight back. First few times I had 3 or 4 kids attack me and I'd get beat up really badly. I was around 9 years old and I started to do push ups, pull ups and exercise with my dad. He showed me a couple of moves  And one day something clicked I was attacked by 3 bullies at once in my neighborhood, they were bigger than me I successfully beat two of the three up and the third one ran away. From then on, I became confident for years the beat me up and once I became stronger I was not only left along but respected. With that experience in my life, I honestly think it's human nature. No amount of talking or kindness I tried to show worked, I would get beat up and spit on and when I finally was able to overpower my bullies they left me alone and perhaps moved on to an easier target. So moving forward more than 30 something years later, I've learned to assess life and positions as pros and cons. I'm perceived as a black male and it helps in some situations, and in others pose some challenges. But when it comes down to it that's the nature of humans. For example when I go to my moms country I don't look south east asian, however, there are times where I speak the language and just because I look black people treat me much better than they would have if I weren't mix for being able to speak the language. I went to a restaurant with my wife and friend, the lady said our wait was going to be over an hour. I spoke the language and showed a pick when I was a monk, and we were seated in 5 minutes. Every body from there position has pros, cons, advantages and disadvantages. ",,,self-describe,"I never use pronouns for myself. ","I've never used pronouns for myself, and I've never had to use pronouns with anyone that I've known. Since I'm older and I'm taking mainly online courses, that situation never came up with me or my social circle. However, if someone wanted me to address them out of respect I've always called people by their name so that situation never came up to me. ","I think people should do what makes them feel comfortable. However, I don't know much about pronouns or the formalities of it. As much as I would like to go deeper into that space, I have a wife kids, mortgages, contracts, interviews, jobs, learning financial hacks and investments too much of that to go into that space. Another thing for me is I see it as dividing us more into subcategories. I've been categorized my whole life,  so I personally just like to see people as people and call individuals by their name rather than their gender or label people by sexual preference. For me sexual preferences don't even matter because I'm married with children lol, I'm out of the market so it has nothing to do with me at this point haha. ",,"I think, that as people it would be nice to just enjoy one another and be comfortable in our own skin. A long time ago, after being rejected by all sides I made a promise to my self that I'll align with people that have common goals, and/or good people. I don't care about their race, gender and people described my wedding was like that UN. Everyone in my circle are all from different backgrounds. My wife is Hindu, mom is Buddhist, father was Roman Catholic, step mother Baptist and Stepfather was Jewish that became an Atheist. I been to church, temples and the synagogue ( step cousins ). I think if people had this thought process we could all be happy and help one another get to where we'd like to go in life. I find just being and embracing what is, about your self you can identify real friends, great opportunities and be truly happy. "
2023-11-09 09:30:37,2023-11-09 10:03:45,IP Address,100,1988,True,2023-11-09 10:03:46,R_2R4X43PUdz2glrY,anonymous,EN,"I agree, begin the research survey",33,,Good,Have not experienced discrimination.,Asian,I was very much ashamed to eat my native food in an open work setting. I could sense that the others around me did not like the smell or the way the food looked. I had to start eating either early or delay my lunch time to avoid being in the group.,Hindu,"I have not experienced discrimination in terms of religion. However, I did face a situation where an elderly woman was trying to convert me to follow Christianity by praising the religion.  ",Not applicable,Not applicable,Not applicable,Not applicable,Female,not experienced,,,she/her/hers,,I like to share the pronouns since people may not be familiar with my name and they may not have a way to identify the pronouns specifically if they haven't met me. This helps in email communication.,"I'm neutral ",,"I believe culture too impacts identity. During a conversation, people should be open to respect other cultures which makes the speaker confident and builds his/her own identity. "
2023-11-09 11:47:27,2023-11-09 12:03:41,IP Address,100,973,True,2023-11-09 12:03:42,R_32JdvLxzayHAwhM,anonymous,EN,"I agree, begin the research survey",23,,Middle class,"I went to an inner-city school that faced a lot of prejudice from surrounding suburban schools. As the first in my family to attend college, I faced many challenges navigating the process. Growing up, I was also responsible for translating for my immigrant parents who could not afford a translator.","I identify as Asian, specifically Vietnamese.","While in school, my hard-work was attributed to my being Asian and my efforts went unnoticed. I also rarely invited any friends over because mediating between my family and English speakers was an exhausting process.","I grew up Buddhist, became an atheist, and am currently agnostic.",I haven't personally been discriminated on the grounds of religion before.,N/a,N/a,N/a,N/a,I am a cisgender female.,"I was aggressively pushed into STEM growing up by my teachers who wanted to help girls push into traditionally more dominated fields. I know it is beneficial to get that exposure at a young age but the pressure and nudge that I got made it difficult for me to discover my interest. I wished that I had the opportunity to develop more ""feminine"" traits. It was automatically assumed that ""masculinity"" was preferred. It wasn't until I got to college where I studied engineering that I realized it wasn't who I am and had to unlearn.",,,she/her/hers,,Pretty positive in the circles that I am in,"Positively it usually doesn't take a lot of effort and doing it as a group helps me understand what people's pronouns are. ",,"I think something important to identity that often is forgotten is the household that you grew up in and how that impacts your identity as well. Despite the struggles I faced growing up, having loving parents was something that I did not think about often that now grown up, I appreciate deeply. I had support from my parents emotionally which allowed me to focus on school even when we were struggling. "
